Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,state
-1.266217146224323,-0.6122264895514987,-0.6591368433971236,-14.960078064031151,-2.668435391866101,-1.1876828581887635,-0.5316568292564279,-0.4178049124330216,-0.9532667768358698,40.0
-1.2662274469659938,-0.6137609687453155,-0.6550017560088953,-14.648903091282582,-2.6599163791068223,-1.1876673735195231,-0.5326147437094686,-0.4076649539717786,-0.9532667768358698,40.0
-1.2661835304482445,-0.6152954479391322,-0.6567320648312079,-14.337728118534011,-2.651397366347545,-1.1877928160811353,-0.5335726581625094,-0.4158014242944239,-0.9532667768358698,40.0
-1.2661835760897693,-0.6168299271329489,-0.6542945834713578,-14.026553145785446,-2.642878353588267,-1.1875398307530591,-0.5345305726155501,-0.4420046006479613,-0.9532667768358698,40.0
-1.266136601575499,-0.6183644063267656,-0.6525698399154132,-13.715378173036877,-2.6343593408289903,-1.1875317907930625,-0.5354884870685909,-0.3894434765542374,-0.9532667768358698,40.0
-1.2661325843584008,-0.6198988855205823,-0.6540502332548673,-13.404203200288306,-2.625840328069712,-1.1876871089054648,-0.5364464015216316,-0.4081842196884449,-0.9532667768358698,40.0
-1.2661682442188178,-0.6219624954990279,-0.6536311433243474,-13.089555259452784,-2.628679998989472,-1.1876227509152024,-0.5374043159746724,-0.3998620476655465,-0.9532667768358698,40.0
-1.266185562916068,-0.6240261054774736,-0.6555748396690132,-12.774907318617236,-2.6315196699092307,-1.1877784626013317,-0.5383622304277076,-0.3895251371231819,-0.9532667768358698,40.0
-1.2661438905488442,-0.6260897154559193,-0.6526041102073792,-12.460259377781725,-2.6343593408289903,-1.1877200049469951,-0.5393201448807483,-0.3798499851825269,-0.9532667768358698,40.0
-1.2661593386123615,-0.6281533254343649,-0.6534778727931871,-12.145611436946194,-2.637199011748749,-1.1877013905917484,-0.540278059333789,-0.3828105429139549,-0.9532667768358698,40.0
-1.2661220942961742,-0.6302169354128105,-0.6546380388499525,-11.83096349611066,-2.6400386826685085,-1.1877892725042924,-0.5412359737868299,-0.3755494895033559,-0.9532667768358698,40.0
-1.266145980542912,-0.6314339361125335,-0.655288831647575,-11.522219582815342,-2.630099834449351,-1.1877742237393203,-0.5407570165603123,-0.3526125327048596,-0.9532667768358698,40.0
-1.2661224315007793,-0.6326509368122566,-0.6558124708943557,-11.21347566952,-2.6201609862301942,-1.1877186626318508,-0.540278059333789,-0.4079565480242209,-0.9532667768358698,40.0
-1.2661727861966403,-0.6338679375119796,-0.654852085552761,-10.904731756224692,-2.610222138011037,-1.187667090114369,-0.5397991021072714,-0.4112467629522224,-0.9532667768358698,40.0
-1.2661342107251654,-0.6350849382117026,-0.6518785396370651,-10.595987842929375,-2.60028328979188,-1.1876140903537258,-0.5393201448807483,-0.4276657854076465,-0.9532667768358698,40.0
-1.2661422731104557,-0.6363019389114257,-0.6521651044255217,-10.287243929634055,-2.590344441572721,-1.1873958308580674,-0.5388411876542307,-0.3430058196134734,-0.9532667768358698,40.0
-1.2661418101419455,-0.6375189396111487,-0.6529817274809837,-9.978500016338732,-2.580405593353565,-1.1874165653433884,-0.5383622304277076,-0.4144043480301083,-0.9532667768358698,40.0
-1.266111852518306,-0.6387359403108717,-0.6529488532703922,-9.66975610304341,-2.570466745134408,-1.1872465333491435,-0.53788327320119,-0.4237298524060729,-0.9532667768358698,40.0
-1.2661383740521952,-0.6399529410105947,-0.655482558110046,-9.361012189748084,-2.560527896915251,-1.1872802282472577,-0.5374043159746724,-0.3815685664548928,-0.9532667768358698,40.0
-1.266139396893584,-0.6411699417103178,-0.6587147044973475,-9.052268276452764,-2.5505890486960943,-1.1871762749825547,-0.5369253587481492,-0.4272882595808191,-0.9532667768358698,40.0
-1.266162479698593,-0.6423869424100408,-0.6614481615007889,-8.743524363157443,-2.5406502004769367,-1.187082040369404,-0.5364464015216316,-0.4337005816523883,-0.9532667768358698,40.0
-1.2661396655797978,-0.6434981170227869,-0.6575466221384737,-8.442768203631621,-2.53213118771766,-1.1871724267560235,-0.5364464015216316,-0.3524514122960849,-0.9532667768358698,40.0
-1.2661536716537796,-0.6446092916355333,-0.6575542484483268,-8.142012044105796,-2.523612174958382,-1.1872390309744565,-0.5364464015216316,-0.3985799374969217,-0.9532667768358698,40.0
-1.2661901202939312,-0.6457204662482795,-0.6533074162806994,-7.841255884579972,-2.515093162199104,-1.1871848731887882,-0.5364464015216316,-0.43556968669652,-0.9532667768358698,40.0
-1.266127906028082,-0.6468316408610258,-0.6489543663739861,-7.54049972505414,-2.506574149439827,-1.1872591806825,-0.5364464015216316,-0.4341410094088504,-0.9532667768358698,40.0
-1.2661232831314648,-0.647942815473772,-0.6516916092668212,-7.2397435655283235,-2.498055136680549,-1.1872948120000084,-0.5364464015216316,-0.4454276936742666,-0.9532667768358698,40.0
-1.2661277465682563,-0.645826292451838,-0.6533430478428922,-7.0042785642185335,-2.5008948076003086,-1.1871820165831422,-0.5364464015216316,-0.4680513386079945,-0.9532667768358698,40.0
